State,District,age_0_5,age_18_greater,age_5_17,bio_age_17_,bio_age_5_17,demo_age_17_,demo_age_5_17,Dropout_Risk,Total_Migration_Velocity,Dormancy_Score
Andaman_And_Nicobar_Islands,Nicobar,67,0,11,0,0,561,35,1.0,561,0.0
Andaman_And_Nicobar_Islands,North And Middle Andaman,181,0,6,0,0,1575,82,1.0,1575,0.0
Andaman_And_Nicobar_Islands,South Andaman,230,0,15,0,0,3294,429,1.0,3294,0.0
Andaman_Nicobar_Islands,Andamans,95,0,9,3646,486,794,12,-24.57894736842105,794,0.0
Andaman_Nicobar_Islands,Nicobars,1,0,0,9,2,3,0,-9.0,3,0.0
Andaman_Nicobar_Islands,South Andaman,52,0,1,1299,109,314,9,-9.48076923076923,314,0.0
Andhra_Pradesh,100000,0,205,0,0,0,0,0,1.0,0,205.0
Andhra_Pradesh,ANGUL,1,0,0,0,0,0,0,1.0,0,0.0
Andhra_Pradesh,ANUGUL,8,0,0,0,0,0,0,1.0,0,0.0
Andhra_Pradesh,Adilabad,3031,4,757,62416,15511,27459,2140,-24.58726492906631,27459,0.0001456664238892
Andhra_Pradesh,Agar Malwa,1535,24,169,0,0,0,0,1.0,0,24.0
Andhra_Pradesh,Agra,5254,336,3070,0,0,0,0,1.0,0,336.0
Andhra_Pradesh,Ahilyanagar,11,0,1,0,0,0,0,1.0,0,0.0
Andhra_Pradesh,Ahmadabad,412,0,111,0,0,0,0,1.0,0,0.0
Andhra_Pradesh,Ahmadnagar,6112,66,784,0,0,0,0,1.0,0,66.0
Andhra_Pradesh,Ahmed Nagar,190,0,29,0,0,0,0,1.0,0,0.0
Andhra_Pradesh,Ahmedabad,6441,333,2276,0,0,0,0,1.0,0,333.0
Andhra_Pradesh,Aizawl,354,49,87,0,0,0,0,1.0,0,49.0
Andhra_Pradesh,Ajmer,3604,74,1063,0,0,0,0,1.0,0,74.0
Andhra_Pradesh,Akola,1858,2,201,0,0,0,0,1.0,0,2.0
Andhra_Pradesh,Alappuzha,1445,117,464,0,0,0,0,1.0,0,117.0
Andhra_Pradesh,Aligarh,3657,75,2390,0,0,0,0,1.0,0,75.0
Andhra_Pradesh,Alipurduar,273,130,162,0,0,0,0,1.0,0,130.0
Andhra_Pradesh,Alirajpur,1412,137,776,0,0,0,0,1.0,0,137.0
Andhra_Pradesh,Allahabad,3426,44,2483,0,0,0,0,1.0,0,44.0
Andhra_Pradesh,Alluri Sitharama Raju,1946,57,224,18054,12454,11650,1650,-30.99897225077081,11650,0.0048922839241266
Andhra_Pradesh,Almora,697,4,61,0,0,0,0,1.0,0,4.0
Andhra_Pradesh,Alwar,5294,132,2739,0,0,0,0,1.0,0,132.0
Andhra_Pradesh,Ambala,1799,19,42,0,0,0,0,1.0,0,19.0
Andhra_Pradesh,Ambedkar Nagar,1743,22,1549,0,0,0,0,1.0,0,22.0
Andhra_Pradesh,Amethi,1878,42,1210,0,0,0,0,1.0,0,42.0
Andhra_Pradesh,Amravati,2500,59,257,0,0,0,0,1.0,0,59.0
Andhra_Pradesh,Amreli,1595,94,149,0,0,0,0,1.0,0,94.0
Andhra_Pradesh,Amritsar,2283,84,413,0,0,0,0,1.0,0,84.0
Andhra_Pradesh,Amroha,2706,18,1067,0,0,0,0,1.0,0,18.0
Andhra_Pradesh,Anakapalli,942,17,24,12635,6769,13441,1971,-34.92887473460722,13441,0.0012646927540544
Andhra_Pradesh,Anand,2431,251,219,0,0,0,0,1.0,0,251.0
